Week,Time,Away,Home,Tm_away,W_away,L_away,W-L%_away,PF_away,PA_away,PD_x_away,MoV_away,SoS_away,SRS_away,OSRS_away,DSRS_away,Rk_x_Off_away,Yds_tot_Off_away,Ply_Off_away,Y/P_Off_away,TO_Off_away,FL_Off_away,1stD_tot_Off_away,1stD_Pss_Off_away,1stD_Rsh_Off_away,Pen_Off_away,Yds_Pny_Off_away,1stPy_Off_away,Sc%_Off_away,TO%_Off_away,EXP_Off_away,Rk_Pss_Off_away,G_Pss_Off_away,Cmp_Off_away,Att_Pss_Off_away,Cmp%_Off_away,Yds_Pss_Off_away,TD_Pss_Off_away,TD%_Off_away,Int_Off_away,Int%_Off_away,Lng_Pss_away,Y/A_Pss_Off_away,AY/A_Off_away,Y/C_Off_away,Y/G_Pss_Off_away,Rate_Off_away,Sk_Off_away,Yds.1_Off_away,Sk%_Off_away,NY/A_Off_away,ANY/A_Off_away,4QC_away,GWD_away,EXP_Pss_Off_away,Rk_Rsh_Off_away,G_Rsh_Off_away,Att_Rsh_Off_away,Yds_Rsh_Off_away,TD_Rsh_Off_away,Lng_Rsh_away,Y/A_Rsh_Off_away,Y/G_Rsh_Off_away,Fmb_away,EXP_Rsh_Off_away,Rk_y_Off_away,G_Off_away,RshTD_Off_away,RecTD_Off_away,PR TD_Off_away,KR TD_Off_away,FblTD_Off_away,IntTD_Off_away,OthTD_Off_away,AllTD_Off_away,2PM_Off_away,2PA_Off_away,D2P_Off_away,XPM_Off_away,XPA_Off_away,FGM_Off_away,FGA_Off_away,Sfty_Off_away,Pts_Off_away,Pts/G_Off_away,Rk_x_Def_away,Yds_tot_Def_away,Ply_Def_away,Y/P_Def_away,TO_Def_away,FL_Def_away,1stD_tot_Def_away,1stD_Pss_Def_away,1stD_Rsh_Def_away,Pen_Def_away,Yds_Pny_Def_away,1stPy_Def_away,Sc%_Def_away,TO%_Def_away,EXP_Def_away,Rk_Pss_Def_away,G_Pss_Def_away,Cmp_Def_away,Att_Pss_Def_away,Cmp%_Def_away,Yds_Pss_Def_away,TD_Pss_Def_away,TD%_Def_away,Int_Def_away,PD_y_away,Int%_Def_away,Y/A_Pss_Def_away,AY/A_Def_away,Y/C_Def_away,Y/G_Pss_Def_away,Rate_Def_away,Sk_Def_away,Yds.1_Def_away,QBHits_away,TFL_away,Sk%_Def_away,NY/A_Def_away,ANY/A_Def_away,EXP_Pss_Def_away,Rk_Rsh_Def_away,G_Rsh_Def_away,Att_Rsh_Def_away,Yds_Rsh_Def_away,TD_Rsh_Def_away,Y/A_Rsh_Def_away,Y/G_Rsh_Def_away,EXP_Rsh_Def_away,Rk_y_Def_away,G_Def_away,RshTD_Def_away,RecTD_Def_away,PR TD_Def_away,KR TD_Def_away,FblTD_Def_away,IntTD_Def_away,OthTD_Def_away,AllTD_Def_away,2PM_Def_away,2PA_Def_away,D2P_Def_away,XPM_Def_away,XPA_Def_away,FGM_Def_away,FGA_Def_away,Sfty_Def_away,Pts_Def_away,Pts/G_Def_away,Tm_home,W_home,L_home,W-L%_home,PF_home,PA_home,PD_x_home,MoV_home,SoS_home,SRS_home,OSRS_home,DSRS_home,Rk_x_Off_home,Yds_tot_Off_home,Ply_Off_home,Y/P_Off_home,TO_Off_home,FL_Off_home,1stD_tot_Off_home,1stD_Pss_Off_home,1stD_Rsh_Off_home,Pen_Off_home,Yds_Pny_Off_home,1stPy_Off_home,Sc%_Off_home,TO%_Off_home,EXP_Off_home,Rk_Pss_Off_home,G_Pss_Off_home,Cmp_Off_home,Att_Pss_Off_home,Cmp%_Off_home,Yds_Pss_Off_home,TD_Pss_Off_home,TD%_Off_home,Int_Off_home,Int%_Off_home,Lng_Pss_home,Y/A_Pss_Off_home,AY/A_Off_home,Y/C_Off_home,Y/G_Pss_Off_home,Rate_Off_home,Sk_Off_home,Yds.1_Off_home,Sk%_Off_home,NY/A_Off_home,ANY/A_Off_home,4QC_home,GWD_home,EXP_Pss_Off_home,Rk_Rsh_Off_home,G_Rsh_Off_home,Att_Rsh_Off_home,Yds_Rsh_Off_home,TD_Rsh_Off_home,Lng_Rsh_home,Y/A_Rsh_Off_home,Y/G_Rsh_Off_home,Fmb_home,EXP_Rsh_Off_home,Rk_y_Off_home,G_Off_home,RshTD_Off_home,RecTD_Off_home,PR TD_Off_home,KR TD_Off_home,FblTD_Off_home,IntTD_Off_home,OthTD_Off_home,AllTD_Off_home,2PM_Off_home,2PA_Off_home,D2P_Off_home,XPM_Off_home,XPA_Off_home,FGM_Off_home,FGA_Off_home,Sfty_Off_home,Pts_Off_home,Pts/G_Off_home,Rk_x_Def_home,Yds_tot_Def_home,Ply_Def_home,Y/P_Def_home,TO_Def_home,FL_Def_home,1stD_tot_Def_home,1stD_Pss_Def_home,1stD_Rsh_Def_home,Pen_Def_home,Yds_Pny_Def_home,1stPy_Def_home,Sc%_Def_home,TO%_Def_home,EXP_Def_home,Rk_Pss_Def_home,G_Pss_Def_home,Cmp_Def_home,Att_Pss_Def_home,Cmp%_Def_home,Yds_Pss_Def_home,TD_Pss_Def_home,TD%_Def_home,Int_Def_home,PD_y_home,Int%_Def_home,Y/A_Pss_Def_home,AY/A_Def_home,Y/C_Def_home,Y/G_Pss_Def_home,Rate_Def_home,Sk_Def_home,Yds.1_Def_home,QBHits_home,TFL_home,Sk%_Def_home,NY/A_Def_home,ANY/A_Def_home,EXP_Pss_Def_home,Rk_Rsh_Def_home,G_Rsh_Def_home,Att_Rsh_Def_home,Yds_Rsh_Def_home,TD_Rsh_Def_home,Y/A_Rsh_Def_home,Y/G_Rsh_Def_home,EXP_Rsh_Def_home,Rk_y_Def_home,G_Def_home,RshTD_Def_home,RecTD_Def_home,PR TD_Def_home,KR TD_Def_home,FblTD_Def_home,IntTD_Def_home,OthTD_Def_home,AllTD_Def_home,2PM_Def_home,2PA_Def_home,D2P_Def_home,XPM_Def_home,XPA_Def_home,FGM_Def_home,FGA_Def_home,Sfty_Def_home,Pts_Def_home,Pts/G_Def_home
15,8:30PM,Atlanta Falcons_2024,Las Vegas Raiders_2024,Atlanta Falcons_2024,8,8,0.5,351,379,-28,-1.8,0.6,-1.2,-0.5,-0.7,17,5750,1009,5.7,23,5,328,187,113,92,773,28,38.4,13.8,72.78,8,16,343,521,65.8,3758,19,3.6,18,3.5,60,7.6,6.8,11.6,234.9,86.5,31,213,5.6,6.8,6.0,3.0,3.0,95.34,12,16,457,1992,15,37,4.4,124.5,21,-3.06,20,16,15,19,0.0,0.0,1.0,3.0,0.0,38,2.0,4,0.0,33,33,28,39,1.0,351,21.9,20,5443,1002,5.4,18,6,322,184,122,120,934,16,42.3,10.4,-60.49,19,16,378,543,69.6,3547,31,5.7,12,62,2.2,6.9,7.0,9.9,221.7,98.6,31,187,74,76,5.4,6.2,6.3,-55.74,14,16,428,1896,8,4.4,118.5,-15.05,20,16,8,31,0.0,0.0,1.0,1.0,0.0,41,3.0,3,0.0,35,37,30,31,1.0,379,23.7,Las Vegas Raiders_2024,4,12,0.25,289,400,-111,-6.9,0.8,-6.1,-4.1,-2.0,28,4890,1017,4.8,28,13,294,198,75,93,779,21,32.6,15.5,-76.79,13,16,385,599,64.3,3572,17,2.8,15,2.5,58,6.5,5.9,10.1,223.3,81.7,50,320,7.7,5.5,5.0,2.0,2.0,8.42,32,16,368,1318,10,40,3.6,82.4,18,-71.1,24,16,10,17,0.0,0.0,0.0,1.0,0.0,28,2.0,5,0.0,21,23,32,38,0.0,289,18.1,24,5190,981,5.3,13,3,297,181,91,110,812,25,41.0,7.5,-47.54,11,16,342,525,65.1,3340,27,5.1,10,79,1.9,6.9,7.1,10.7,208.8,94.5,37,303,83,79,6.6,5.9,6.1,-71.49,11,16,419,1850,13,4.4,115.6,7.94,24,16,13,27,0.0,0.0,2.0,1.0,0.0,43,0.0,3,0.0,38,40,34,38,1.0,400,25.0
16,8:15PM,Cleveland Browns_2024,Cincinnati Bengals_2024,Cleveland Browns_2024,3,13,0.188,248,400,-152,-9.5,0.5,-9.0,-7.1,-1.9,32,4884,1063,4.6,32,11,290,171,92,116,895,27,22.8,15.9,-143.59,20,16,377,627,60.1,3332,18,2.9,21,3.3,89,5.9,5.0,9.8,208.3,72.4,64,364,9.3,4.8,4.0,2.0,2.0,-116.58,28,16,372,1552,8,66,4.2,97.0,20,-5.88,25,16,8,18,0.0,0.0,1.0,0.0,1.0,28,5.0,8,0.0,17,20,17,26,1.0,248,15.5,25,5379,973,5.5,12,8,283,164,100,98,807,19,33.2,5.6,-47.76,13,16,300,479,62.6,3394,24,5.0,4,56,0.8,7.6,8.3,12.2,212.1,99.3,41,267,103,109,7.9,6.5,7.1,-69.77,19,16,453,1985,20,4.4,124.1,13.32,25,16,20,24,1.0,1.0,0.0,2.0,0.0,48,0.0,1,0.0,46,47,22,31,0.0,400,25.0,Cincinnati Bengals_2024,8,8,0.5,453,417,36,2.3,-1.2,1.0,5.3,-4.2,6,5900,1009,5.8,20,12,355,238,83,95,755,34,43.5,10.6,153.34,1,16,423,606,69.8,4394,42,6.9,8,1.3,70,7.7,8.5,11.0,274.6,109.8,44,247,6.8,6.8,7.5,1.0,2.0,168.37,29,16,359,1506,11,47,4.2,94.1,21,-2.07,29,16,11,42,0.0,1.0,0.0,2.0,0.0,56,1.0,3,0.0,50,52,21,29,1.0,453,28.3,29,5728,1030,5.6,24,9,345,184,131,98,806,30,40.1,13.4,-110.21,24,16,355,542,65.5,3680,29,5.4,15,74,2.8,7.1,7.0,10.9,230.0,92.7,32,188,97,66,5.6,6.4,6.2,-82.94,21,16,456,2048,19,4.5,128.0,-37.56,29,16,19,29,0.0,0.0,2.0,1.0,0.0,51,2.0,3,0.0,44,47,21,25,0.0,417,26.1
16,1:00PM,Houston Texans_2024,Kansas City Chiefs_2024,Houston Texans_2024,9,7,0.563,349,358,-9,-0.6,-0.2,-0.8,-1.4,0.6,18,5061,1000,5.1,18,6,290,189,81,113,933,20,37.2,9.3,-0.41,19,16,339,542,62.5,3359,19,3.5,12,2.2,67,7.0,6.7,11.1,209.9,85.7,53,415,8.9,5.6,5.4,1.0,2.0,42.51,21,16,405,1702,14,59,4.2,106.4,12,-24.29,16,16,14,19,0.0,0.0,1.0,1.0,0.0,35,0.0,2,0.0,32,33,35,41,1.0,349,21.8,16,5041,990,5.1,28,9,299,163,102,99,730,34,35.5,14.2,-3.91,6,16,310,528,58.7,3188,30,5.7,19,85,3.6,6.6,6.2,11.3,199.3,82.6,47,320,93,100,8.2,5.5,5.1,-15.25,12,16,415,1853,11,4.5,115.8,-7.33,16,16,11,30,0.0,0.0,0.0,0.0,0.0,41,1.0,4,0.0,36,37,24,26,1.0,358,22.4,Kansas City Chiefs_2024,15,1,0.938,385,288,97,6.1,0.2,6.3,1.1,5.2,11,5472,1058,5.2,14,3,345,215,106,91,814,24,45.3,8.7,118.91,10,16,394,583,67.6,3709,26,4.5,11,1.9,54,6.8,6.8,10.0,231.8,93.6,36,239,5.8,6.0,6.0,5.0,7.0,113.84,16,16,439,1763,15,34,4.0,110.2,8,17.33,2,16,15,26,0.0,0.0,1.0,0.0,0.0,42,0.0,2,0.0,37,39,32,36,0.0,385,24.1,2,4972,954,5.2,20,7,299,176,98,102,808,25,34.6,11.9,-23.35,14,16,349,540,64.6,3399,20,3.7,13,69,2.4,6.8,6.4,10.5,212.4,86.4,39,250,112,83,6.7,5.9,5.6,-44.32,4,16,375,1573,12,4.2,98.3,6.14,2,16,12,20,0.0,0.0,0.0,0.0,0.0,32,1.0,2,0.0,25,30,23,30,0.0,288,18.0
16,4:30PM,Pittsburgh Steelers_2024,Baltimore Ravens_2024,Pittsburgh Steelers_2024,10,6,0.625,363,328,35,2.2,0.1,2.3,-0.1,2.4,14,5237,1023,5.1,16,10,302,150,116,99,803,36,40.3,9.1,19.41,25,16,304,468,65.0,3145,20,4.3,6,1.3,55,7.4,7.7,11.4,196.6,95.9,45,314,8.8,6.1,6.4,1.0,2.0,54.44,10,16,510,2092,13,36,4.1,130.8,20,-23.7,7,16,13,20,1.0,0.0,1.0,0.0,0.0,35,0.0,2,0.0,33,33,40,43,0.0,363,22.7,7,5240,963,5.4,31,15,303,178,103,119,1014,22,33.9,16.4,-10.93,23,16,345,536,64.4,3630,22,4.1,16,71,3.0,7.2,6.7,11.2,226.9,87.1,36,244,100,76,6.3,6.3,5.9,-46.58,7,16,391,1610,14,4.1,100.6,13.67,7,16,14,22,0.0,0.0,0.0,2.0,0.0,38,2.0,7,0.0,30,31,22,29,0.0,328,20.5,Baltimore Ravens_2024,11,5,0.688,483,351,132,8.3,1.4,9.7,7.8,1.9,3,6787,988,6.9,11,7,373,187,156,122,1037,30,47.6,6.5,251.8,6,16,302,445,67.9,3818,39,8.8,4,0.9,84,8.9,10.3,13.2,238.6,121.3,24,154,5.1,8.1,9.4,2.0,2.0,194.72,2,16,519,2969,19,87,5.7,185.6,19,71.22,13,16,19,39,0.0,0.0,1.0,1.0,0.0,60,1.0,3,0.0,55,57,22,30,0.0,483,30.2,13,5281,1007,5.2,15,5,317,209,68,94,739,40,37.9,8.6,-53.62,30,16,378,591,64.0,3976,26,4.4,10,76,1.7,7.3,7.4,11.3,248.5,93.2,52,309,119,79,8.1,6.2,6.3,-115.83,1,16,364,1305,12,3.6,81.6,44.06,13,16,12,26,0.0,0.0,0.0,0.0,0.0,38,2.0,7,0.0,31,31,28,32,2.0,351,21.9
16,1:00PM,Arizona Cardinals_2024,Carolina Panthers_2024,Arizona Cardinals_2024,7,9,0.438,353,355,-2,-0.1,1.1,1.0,-0.3,1.3,15,5697,974,5.8,20,9,330,177,128,91,801,25,42.9,12.8,108.17,18,16,349,508,68.7,3397,17,3.3,11,2.2,60,7.1,6.8,10.4,212.3,91.1,30,220,5.6,6.3,6.0,3.0,3.0,66.66,7,16,436,2300,16,53,5.3,143.8,20,52.08,14,16,16,17,0.0,1.0,2.0,0.0,0.0,36,3.0,4,0.0,31,32,32,36,2.0,353,22.1,14,5387,972,5.5,14,7,318,184,115,87,718,19,43.9,8.4,-105.28,12,16,341,496,68.8,3376,18,3.6,7,58,1.4,7.3,7.4,10.6,211.0,95.9,39,228,72,81,7.3,6.3,6.4,-81.55,20,16,437,2011,17,4.6,125.7,-33.46,14,16,17,18,0.0,0.0,0.0,1.0,1.0,37,1.0,1,0.0,32,35,33,36,0.0,355,22.2,Carolina Panthers_2024,4,12,0.25,297,496,-199,-12.4,0.4,-12.1,-4.0,-8.1,27,4641,928,5.0,22,7,268,152,90,116,917,26,31.4,12.6,-34.89,31,16,315,512,61.5,2918,19,3.7,15,2.9,83,6.1,5.6,10.0,182.4,79.1,36,223,6.6,5.3,4.8,1.0,3.0,-33.04,20,16,380,1723,15,38,4.5,107.7,16,18.57,32,16,15,19,0.0,0.0,0.0,0.0,0.0,34,1.0,3,0.0,28,30,21,25,0.0,297,18.6,32,6340,1077,5.9,16,8,386,194,159,113,922,33,50.9,8.6,-193.63,16,16,339,492,68.9,3510,33,6.7,8,59,1.6,7.6,8.2,11.0,219.4,106.7,31,221,59,62,5.9,6.7,7.3,-135.94,32,16,554,2830,21,5.1,176.9,-77.68,32,16,21,33,0.0,0.0,0.0,1.0,1.0,56,3.0,5,0.0,49,51,35,40,0.0,496,31.0
16,1:00PM,Detroit Lions_2024,Chicago Bears_2024,Detroit Lions_2024,14,2,0.875,533,333,200,12.5,0.6,13.1,10.8,2.4,1,6568,1052,6.2,13,3,386,228,135,99,939,23,52.0,7.6,247.86,2,16,372,518,71.8,4258,38,7.3,10,1.9,82,8.7,9.3,12.1,266.1,114.4,31,229,5.6,7.8,8.3,4.0,4.0,199.8,6,16,503,2310,26,70,4.6,144.4,12,50.98,9,16,26,38,1.0,0.0,0.0,1.0,0.0,66,1.0,2,0.0,60,63,25,28,0.0,533,33.3,9,5558,954,5.8,24,8,317,191,83,108,832,43,35.9,14.1,-44.56,31,16,355,569,62.4,4006,18,3.2,16,75,2.8,7.4,6.8,11.9,250.4,83.9,35,232,100,68,5.8,6.6,6.0,-48.34,3,16,350,1552,18,4.4,97.0,-14.12,9,16,18,18,0.0,0.0,1.0,0.0,0.0,37,1.0,4,0.0,32,33,25,31,1.0,333,20.8,Chicago Bears_2024,4,12,0.25,286,348,-62,-3.9,0.6,-3.2,-5.4,2.1,29,4596,1008,4.6,14,8,280,162,92,103,822,26,30.0,7.1,-34.83,29,16,332,536,61.9,2945,19,3.5,6,1.1,47,6.4,6.6,10.3,184.1,87.3,67,459,11.1,4.9,5.1,1.0,0.0,5.11,25,16,405,1651,12,56,4.1,103.2,17,-14.65,12,16,12,19,0.0,0.0,0.0,1.0,1.0,33,3.0,10,0.0,22,23,20,24,0.0,286,17.9,12,5655,967,5.8,22,11,306,170,116,102,749,20,40.5,12.7,-56.37,18,16,308,478,64.4,3521,17,3.6,11,62,2.3,7.9,7.5,12.2,220.1,90.8,37,233,93,75,7.2,6.8,6.5,-40.43,27,16,452,2134,18,4.7,133.4,-24.48,12,16,18,17,0.0,0.0,0.0,0.0,0.0,35,0.0,3,0.0,31,31,35,40,1.0,348,21.8
16,1:00PM,New England Patriots_2024,Buffalo Bills_2024,New England Patriots_2024,3,13,0.188,266,401,-135,-8.4,-1.1,-9.5,-6.4,-3.2,30,4655,966,4.8,22,11,282,153,96,104,857,33,29.8,13.1,-38.84,32,16,320,499,64.1,2763,17,3.4,11,2.2,50,6.2,5.9,9.7,172.7,83.6,51,339,9.3,5.0,4.7,1.0,1.0,-27.81,13,16,416,1892,10,45,4.5,118.3,29,0.17,26,16,10,17,0.0,0.0,1.0,0.0,0.0,28,3.0,4,0.0,23,24,23,30,0.0,266,16.6,26,5570,1003,5.6,12,5,332,182,119,94,737,31,43.6,6.1,-139.76,15,16,328,501,65.5,3467,26,5.2,7,65,1.4,7.2,7.6,11.0,216.7,98.2,28,153,64,59,5.3,6.6,6.9,-124.89,25,16,474,2103,15,4.4,131.4,-26.29,26,16,15,26,1.0,0.0,2.0,1.0,0.0,45,2.0,4,0.0,40,41,29,34,0.0,401,25.1,Buffalo Bills_2024,13,3,0.813,509,345,164,10.3,-0.8,9.4,8.9,0.5,2,5846,960,6.1,8,2,344,174,132,106,798,38,50.9,4.9,227.65,9,16,311,488,63.7,3746,29,5.9,6,1.2,69,7.8,8.4,12.2,234.1,102.4,14,63,2.8,7.5,8.1,0.0,2.0,180.98,9,16,458,2100,31,65,4.6,131.3,10,64.13,11,16,31,29,0.0,0.0,1.0,2.0,0.0,63,1.0,1,0.0,58,62,23,28,1.0,509,31.8,11,5497,991,5.5,31,15,337,203,104,120,957,30,35.4,18.0,-51.47,22,16,374,548,68.2,3611,27,4.9,16,58,2.9,7.0,6.7,10.3,225.7,92.6,38,248,90,87,6.5,6.2,5.9,-85.4,13,16,405,1886,12,4.7,117.9,18.79,11,16,12,27,0.0,1.0,1.0,0.0,1.0,42,2.0,3,0.0,38,39,17,22,0.0,345,21.6
16,1:00PM,New York Giants_2024,Atlanta Falcons_2024,New York Giants_2024,3,13,0.188,260,395,-135,-8.4,-0.2,-8.6,-7.7,-0.9,31,4773,1009,4.7,22,10,291,166,98,106,888,27,27.6,12.1,-75.99,27,16,344,562,61.2,3090,14,2.5,12,2.1,59,6.0,5.6,9.8,193.1,77.6,48,293,7.9,5.1,4.6,0.0,0.0,-42.29,22,16,399,1683,13,45,4.2,105.2,21,-11.29,23,16,13,14,0.0,1.0,0.0,0.0,1.0,29,1.0,7,0.0,21,22,21,26,0.0,260,16.3,23,5593,983,5.7,15,10,310,162,126,105,870,22,38.6,8.8,-94.83,10,16,322,462,69.7,3328,21,4.5,5,55,1.1,7.8,8.2,11.2,208.0,103.3,43,272,86,92,8.5,6.6,7.0,-90.84,31,16,478,2265,18,4.7,141.6,-17.06,23,16,18,21,1.0,0.0,1.0,4.0,0.0,45,1.0,2,0.0,42,43,27,34,0.0,395,24.7,Atlanta Falcons_2024,8,8,0.5,351,379,-28,-1.8,0.6,-1.2,-0.5,-0.7,17,5750,1009,5.7,23,5,328,187,113,92,773,28,38.4,13.8,72.78,8,16,343,521,65.8,3758,19,3.6,18,3.5,60,7.6,6.8,11.6,234.9,86.5,31,213,5.6,6.8,6.0,3.0,3.0,95.34,12,16,457,1992,15,37,4.4,124.5,21,-3.06,20,16,15,19,0.0,0.0,1.0,3.0,0.0,38,2.0,4,0.0,33,33,28,39,1.0,351,21.9,20,5443,1002,5.4,18,6,322,184,122,120,934,16,42.3,10.4,-60.49,19,16,378,543,69.6,3547,31,5.7,12,62,2.2,6.9,7.0,9.9,221.7,98.6,31,187,74,76,5.4,6.2,6.3,-55.74,14,16,428,1896,8,4.4,118.5,-15.05,20,16,8,31,0.0,0.0,1.0,1.0,0.0,41,3.0,3,0.0,35,37,30,31,1.0,379,23.7
16,1:00PM,Tennessee Titans_2024,Indianapolis Colts_2024,Tennessee Titans_2024,3,13,0.188,297,437,-140,-8.8,0.5,-8.3,-4.5,-3.8,25,4858,972,5.0,33,12,295,155,107,125,962,33,30.4,17.1,-53.07,28,16,320,504,63.5,3088,21,4.2,21,4.2,98,6.7,5.7,10.6,193.0,79.4,50,288,9.0,5.6,4.6,1.0,2.0,-32.18,15,16,418,1770,11,41,4.2,110.6,26,-6.16,30,16,11,21,0.0,0.0,0.0,0.0,0.0,32,2.0,3,0.0,28,28,23,25,2.0,297,18.6,30,4917,950,5.2,17,6,296,149,110,114,940,37,41.0,8.7,-82.41,2,16,296,445,66.5,2847,26,5.8,11,51,2.5,6.8,6.9,10.3,177.9,95.1,31,191,65,89,6.5,6.0,6.0,-86.89,22,16,474,2070,20,4.4,129.4,-6.89,30,16,20,26,1.0,0.0,0.0,4.0,1.0,52,1.0,2,0.0,48,50,25,30,0.0,437,27.3,Indianapolis Colts_2024,7,9,0.438,351,404,-53,-3.3,-0.4,-3.7,-0.6,-3.1,16,5263,964,5.5,29,10,291,150,118,90,669,23,35.7,15.9,3.75,26,16,266,473,56.2,3109,19,4.0,19,4.0,69,7.1,6.0,12.5,194.3,75.0,29,226,5.8,6.2,5.2,3.0,4.0,16.17,8,16,462,2154,19,70,4.7,134.6,20,2.43,27,16,19,19,0.0,0.0,1.0,0.0,0.0,39,1.0,5,0.0,34,34,27,32,0.0,351,21.9,27,5821,1044,5.6,24,9,324,181,118,88,805,25,38.3,13.1,-69.99,26,16,358,513,69.8,3693,26,5.1,15,53,2.9,7.6,7.3,10.9,230.8,96.8,34,224,78,84,6.2,6.8,6.5,-95.39,26,16,497,2128,17,4.3,133.0,12.12,27,16,17,26,0.0,1.0,1.0,1.0,0.0,46,3.0,5,0.0,41,41,27,35,0.0,404,25.3
16,1:00PM,Philadelphia Eagles_2024,Washington Commanders_2024,Philadelphia Eagles_2024,13,3,0.813,443,290,153,9.6,-1.2,8.4,3.4,4.9,7,5939,1046,5.7,15,9,339,153,161,102,793,25,44.8,7.0,151.51,30,16,276,407,67.8,2942,22,5.4,6,1.5,67,8.0,8.4,11.8,183.9,103.7,43,306,9.6,6.5,6.9,3.0,4.0,81.19,1,16,596,2997,29,72,5.0,187.3,18,84.72,3,16,29,22,0.0,0.0,0.0,1.0,0.0,52,3.0,6,1.0,45,46,26,33,0.0,443,27.7,3,4494,945,4.8,25,13,283,156,102,79,654,25,31.5,14.3,40.81,1,16,315,513,61.4,2823,21,4.1,12,87,2.3,6.1,5.9,9.9,176.4,82.6,41,305,84,78,7.4,5.1,4.9,4.07,10,16,391,1671,9,4.3,104.4,25.45,3,16,9,21,0.0,0.0,1.0,0.0,1.0,32,4.0,8,0.0,21,24,23,30,0.0,290,18.1,Washington Commanders_2024,11,5,0.688,462,372,90,5.6,-1.7,3.9,5.4,-1.5,5,6015,1046,5.8,15,6,362,181,148,106,905,33,50.6,8.4,200.99,16,16,344,494,69.6,3509,27,5.5,9,1.8,86,7.6,7.8,10.9,219.3,102.2,44,224,8.2,6.5,6.8,4.0,4.0,129.07,3,16,508,2506,24,50,4.9,156.6,19,75.28,19,16,24,27,0.0,0.0,0.0,1.0,0.0,52,4.0,5,0.0,43,45,33,41,0.0,462,28.9,19,5180,954,5.4,17,10,312,163,113,94,782,36,41.0,9.3,-89.02,3,16,287,462,62.1,2993,25,5.4,7,53,1.5,7.0,7.4,11.3,187.1,94.9,41,255,86,78,8.2,6.0,6.3,-88.77,28,16,451,2187,17,4.8,136.7,-20.32,19,16,17,25,0.0,2.0,0.0,0.0,0.0,44,1.0,8,0.0,34,36,24,31,0.0,372,23.3
16,1:00PM,Los Angeles Rams_2024,New York Jets_2024,Los Angeles Rams_2024,10,6,0.625,342,356,-14,-0.9,1.2,0.3,-0.7,1.0,20,5230,975,5.4,13,5,322,176,116,89,788,30,37.7,8.2,80.05,14,16,340,518,65.6,3549,20,3.9,8,1.5,69,7.3,7.3,11.1,221.8,93.5,28,213,5.1,6.5,6.6,3.0,5.0,92.35,23,16,429,1681,15,30,3.9,105.1,13,2.4,15,16,15,20,0.0,0.0,1.0,2.0,1.0,39,0.0,3,0.0,31,35,25,30,1.0,342,21.4,15,5667,1004,5.6,20,7,324,183,112,110,925,29,42.5,11.3,-86.37,21,16,334,515,64.9,3583,25,4.9,13,68,2.5,7.5,7.4,11.6,223.9,93.2,36,295,68,69,6.5,6.5,6.3,-73.07,24,16,453,2084,13,4.6,130.3,-24.54,15,16,13,25,0.0,0.0,1.0,0.0,0.0,39,1.0,1,0.0,33,37,29,32,0.0,356,22.3,New York Jets_2024,4,12,0.25,306,384,-78,-4.9,-0.3,-5.1,-3.8,-1.4,24,4900,948,5.2,18,8,292,187,76,131,1099,29,33.5,10.6,19.79,17,16,362,570,63.5,3457,27,4.7,10,1.8,71,6.6,6.7,10.3,216.1,90.8,37,285,6.1,5.7,5.8,2.0,3.0,49.51,31,16,341,1443,8,42,4.2,90.2,19,-9.57,21,16,8,27,0.0,1.0,0.0,0.0,0.0,36,4.0,8,0.0,25,28,19,27,0.0,306,19.1,21,5000,1000,5.0,13,8,326,157,122,100,957,47,45.4,6.7,-97.91,5,16,302,480,62.9,3076,17,3.5,5,52,1.0,7.0,7.2,11.1,192.3,91.2,39,285,75,77,7.5,5.9,6.1,-101.82,15,16,481,1924,21,4.0,120.3,-11.01,21,16,21,17,0.0,0.0,0.0,2.0,0.0,40,2.0,5,0.0,30,34,36,40,1.0,384,24.0
